loss,mse,val_loss,val_mse,lr
0.6511982083320618,0.4404428005218506,0.4619782865047455,0.2573753297328949,1e-04
0.42418429255485535,0.22538208961486816,0.40368449687957764,0.21084250509738922,1e-04
0.3684014678001404,0.18172825872898102,0.3272120952606201,0.1468120515346527,1e-04
0.3257114291191101,0.15181714296340942,0.42013782262802124,0.25290119647979736,1e-04
0.2977195382118225,0.1373124122619629,0.27596667408943176,0.12253320217132568,1e-04
0.2777676582336426,0.13146837055683136,0.2486955225467682,0.10965413600206375,1e-04
0.2519187033176422,0.12028615176677704,0.2810111343860626,0.15678609907627106,1e-04
0.2283659279346466,0.11164373904466629,0.21833764016628265,0.10911273956298828,1e-04
0.20917241275310516,0.10737758129835129,0.19871225953102112,0.10429880768060684,1e-04
0.18678507208824158,0.09951041638851166,0.19463060796260834,0.1143924742937088,1e-04
0.1685827374458313,0.0950508564710617,0.16081906855106354,0.09373516589403152,1e-04
0.14821097254753113,0.08703810721635818,0.1696791797876358,0.11421061307191849,1e-04
0.13430240750312805,0.08403381705284119,0.139863520860672,0.09449446201324463,1e-04
0.11675434559583664,0.07568035274744034,0.14260627329349518,0.10558803379535675,1e-04
0.10807996988296509,0.07441236823797226,0.1331872045993805,0.10280828922986984,1e-04
0.09536491334438324,0.06775262951850891,0.11766450107097626,0.0926944762468338,1e-04
0.08617285639047623,0.06329910457134247,0.12019093334674835,0.09927362948656082,1e-04
0.0790955200791359,0.059942808002233505,0.10920719802379608,0.0915922224521637,1e-04
0.0735950767993927,0.057357173413038254,0.10574129223823547,0.09071871638298035,1e-04
0.06736145168542862,0.05357827618718147,0.10634947568178177,0.09364765882492065,1e-04
0.04973551630973816,0.03753463178873062,0.09608682245016098,0.08420702069997787,1e-05
0.044532716274261475,0.03286559879779816,0.09567061066627502,0.08421427011489868,1e-05
0.042180564254522324,0.030913865193724632,0.09156472235918045,0.08048504590988159,1e-05
0.0406968779861927,0.029794253408908844,0.09313469380140305,0.08240985870361328,1e-05
0.03840387612581253,0.02784254401922226,0.09422597289085388,0.08382265269756317,1e-05
0.037534307688474655,0.02728956937789917,0.0933833047747612,0.08329515159130096,1e-05
0.035930290818214417,0.02598763257265091,0.09240779280662537,0.08261200785636902,1e-05
0.03283747285604477,0.023054607212543488,0.08950405567884445,0.07973575592041016,1e-06
0.032093584537506104,0.02234174869954586,0.09032679349184036,0.08059126883745193,1e-06
0.03162135183811188,0.021901488304138184,0.0901307463645935,0.0804261714220047,1e-06
0.03136152774095535,0.021673638373613358,0.09040328860282898,0.08073140680789948,1e-06
0.03101864829659462,0.02136288210749626,0.09017736464738846,0.0805371031165123,1e-06
0.03155255690217018,0.021914023905992508,0.0902487188577652,0.08061181008815765,1e-07
0.031189678236842155,0.021554365754127502,0.09017705917358398,0.08054347336292267,1e-07
0.031163131818175316,0.021531209349632263,0.09039925783872604,0.08076898008584976,1e-07
0.030874963849782944,0.021246179938316345,0.09007488191127777,0.08044745773077011,1e-07
0.03076128102838993,0.021134046837687492,0.0901072695851326,0.08048026263713837,1e-08
